Stock	Year	Spawners	Recruits
Adams	1999	0.210742	0.698802
Adams	2000	0.005493	0.001388
Adams	2001	0.000597	0.007698
Adams	2002	0.680552	7.441039
Adams	2003	0.138275	0.132424
Adams	2004	0.000164	0.001935
Adams	2005	0.002138	0.032714
Adams	2006	2.844548	17.496985
Adams	2007	0.189695	0.21439
Adams	2008	0.002234	0.0093
Adams	2009	0.011793	0.384008
Adams	2010	1.170692	8.166165
Adams	2011	0.032296	0.019944
Adams	2012	0.000083	0.000001
Adams	2013	0.020208	0.027943
Adams	2014	3.07322	4.301501
Adams	2015	0.046028	0.001689
Adams	2016	0.000006	0.0002
Adams	2017	0.087946	0.05769
Adams	2018	1.053404	1.470164
Birkenhead	1952	0.054755	0.213941
Birkenhead	1953	0.043328	0.118877
Birkenhead	1954	0.04137	0.146171
Birkenhead	1955	0.013589	0.228353
Birkenhead	1956	0.024744	0.251198
Birkenhead	1957	0.016287	0.042835
Birkenhead	1958	0.008635	0.086069
Birkenhead	1959	0.008185	0.225156
Birkenhead	1960	0.027156	0.130133
Birkenhead	1961	0.007068	0.084468
Birkenhead	1962	0.00551	0.074421
Birkenhead	1963	0.011388	0.330206
Birkenhead	1964	0.019198	0.311035
Birkenhead	1965	0.01055	0.123803
Birkenhead	1966	0.014311	0.216335
Birkenhead	1967	0.020769	0.411254
Birkenhead	1968	0.027978	0.253589
Birkenhead	1969	0.009769	0.690379
Birkenhead	1970	0.013462	0.562013
Birkenhead	1971	0.01758	0.292244
Birkenhead	1972	0.031042	0.471597
Birkenhead	1973	0.014324	0.165326
Birkenhead	1974	0.019252	0.632171
Birkenhead	1975	0.016143	0.099592
Birkenhead	1976	0.026202	0.563748
Birkenhead	1977	0.028374	0.385146
Birkenhead	1978	0.085495	0.610757
Birkenhead	1979	0.019653	0.39476
Birkenhead	1980	0.050023	0.151776
Birkenhead	1981	0.012799	0.261609
Birkenhead	1982	0.048158	1.752826
Birkenhead	1983	0.035168	0.77508
Birkenhead	1984	0.032786	0.43436
Birkenhead	1985	0.027175	0.216306
Birkenhead	1986	0.072353	1.184529
Birkenhead	1987	0.021069	0.977898
Birkenhead	1988	0.023226	0.865447
Birkenhead	1989	0.005757	1.109139
Birkenhead	1990	0.197841	0.225375
Birkenhead	1991	0.089492	0.117016
Birkenhead	1992	0.075537	0.094224
Birkenhead	1993	0.01569	0.56037
Birkenhead	1994	0.097108	0.062585
Birkenhead	1995	0.152077	0.170018
Birkenhead	1996	0.093445	0.075613
Birkenhead	1997	0.151089	0.028365
Birkenhead	1998	0.022315	0.616344
Birkenhead	1999	0.018407	0.083338
Birkenhead	2000	0.027824	0.101313
Birkenhead	2001	0.023274	0.191618
Birkenhead	2002	0.173098	0.632516
Birkenhead	2003	0.02622	0.013074
Birkenhead	2004	0.008333	0.076353
Birkenhead	2005	0.028361	0.084313
Birkenhead	2006	0.107481	0.436059
Birkenhead	2007	0.152657	0.243288
Birkenhead	2008	0.017516	0.069873
Birkenhead	2009	0.027117	0.140142
Birkenhead	2010	0.137365	0.034191
Birkenhead	2011	0.05429	0.089495
Birkenhead	2012	0.006788	0.023328
Birkenhead	2013	0.034475	0.041592
Birkenhead	2014	0.067762	0.011557
Birkenhead	2015	0.09242	0.001374
Birkenhead	2016	0.002549	0.013562
Birkenhead	2017	0.046795	0.089893
Birkenhead	2018	0.019612	0.158396
